id,pool_size,source,stock,basis,psych_type,outcome,text
DM-001973,268,토론방 본문,에코프로비엠,,,,여기ceo공매도짜고치는거 냄새개남 유증도 본인지분까지유증하려했던적이있음 ㅋㅋㅋ
DM-002028,268,토론방 본문,에코프로,,,,아니 에코 2분기 실적 그닥인거 이미 다 알고 에코 매수한 거 아니었나? ​ 가장 많이 폭락한 게 가장 큰 빅호재다
DM-003932,268,유튜브 댓글,삼프로TV,,,,"오늘 올라?? 어제와 그제 30% 너무 많이 급등했기 때문에 좀 더 조정받아야 한다. 상반기 100% 오른 급등장에서 외국인들 그렇게 파는데도 리스크관리 차원에서 같이 비중 줄이라는 코멘트 한 줄 못했던 시장전문가들, 이후 30~40% 폭락장에서 맞지도 않는 하루 하루 바닥권 접근 분할매수 틀린 전망들 이젠 많이 실망했다. 욕 먹기가 싫었는지, 용기가 없었는지, 실력이 없었는지 그 중 어떤 것이든지 ...."
DM-000228,268,토론방 제목,LG에너지솔루션,,,,"<JP모건> ""삼전닉스 심각한 저평가상태, 지금이 저점매수 기회"", 한국증시 투자의견 상향조정 !!!"
DM-003341,268,디시 제목,미국주식갤,,,,팩트체크)대통령님이 사라고 할때 샀으면 지금도 수익권임
DM-004008,268,유튜브 댓글,삼프로TV,,,,그래도 ai관련주를 사야된다 반도체 로봇 전력 조선 방산 이정도면 끝 ..
DM-001151,268,토론방 본문,SK하이닉스,,,,외국인 선물 또 매수 그러니 올라가잖음 살때는 시장가로 사네 이대로 계속 사주면 좋으련만 저러다 또 확돌아서서 매도 하고 완전 국장 외국인 장난감
DM-001235,268,토론방 본문,SK하이닉스,,,,못먹더라도 절대 매수는 조심 특히 전자 닉스는 정말 조심 해야 외국인 누적 매도는 늘리고 매수 안함 가찌 반등 슬쩍씩 주며 보유주 털고 있음 전자도 47정도  까지 줄었다는 볼륨버그 에서 매일 경고하고 있는건 외국인 매도 이유도 되고 숏친거 환매수 안하고 롤 오버 한다면 절대 못 올라감 안전하게 5일선 돌리면 사도 늦지않음 꼭 올릴넘들이라면. 믿거나 말거나 지만 조심이 났지 않을까 ​
DM-002467,268,토론방 본문,한미반도체,,,,"지금 하락 추세 이유 [결론 = 정부의 무능] 투자 부적합 국가 전락 블룸버그는 정부 정책 실패의 가장 큰 피해자로 개인 투자자들을 꼽았다. 이들은 이른바 ‘코리아 디스카운트(한국 증시 저평가)’ 해소를 내건 이재명 대통령의 주식 개혁을 믿고 투자에 나섰다고 블룸버그는 짚었다. 그러나 외국인들이 시장을 빠져나가는 동안 코스피를 사들였던 개인들은 엄청난 손실을 안게 됐다. 가장 인기 있는 SK하이닉스 레버리지 ETF는 6월 고점 대비 84%나 폭락했다. 36만 개에 달하는 증권 계좌는 강제 청산당했다. 특히 강제 청산 계좌 가운데 62%는 35세 이하 젊은 층에 집중된 것으로 나타났다.국민연금의 일관성 없는 행보도 비판의 도마 위에 올랐다. 칼럼은 국민연금이 코스피 보유 물량 매도를 피하기 위해 국내 주식 투자 목표치를 임의로 상향 조정하면서, 시장 과열을 식히는 연기금 본연의 역할을 저버렸다고 "
DM-002465,268,토론방 본문,한미반도체,,,,개미들 죽어 나갈때 잠시 숨고르기 하고 계속 하한 방향 이리고 그리 말해도  그냥 미장으로 당분가 가는걸 추천 해요 이미 기관이랑 외국인인랑 짜고 치는 고스톱 판 임 여기서 마음 고생 하지 말고 자기 자산이니 신중을 하시기 바랍니다 일브러 레버러지 만들어서 유지 하는 정부나 문제가 이리 많아도 손볼생각 없음 으로 대응하는데 개미들 다 잡아 죽이는 살충제 도포 한거랑 마찬가지 입니다 예들은 실적도 없고 거래처도 없으니 투자에 신중학시고 공매도 많은 건 진짜 주의 해야 합니다 지들 마음대로 주식은 가지고 오는데 그럼 아마도 오늘 지옥가는 사람들 많을듯 합니다
